Woodford,Adams Reservoir,1900,8.7,,,,,,,,,,
Plymouth,Amherst Lake,,,100,8,,,,,,,,
Plymouth,Amherst Lake,,,,,600,11.4,,,,,,
Plymouth,Amherst Lake,,,,,300,15.8,,,,,,
Plymouth,Amherst Lake,,,,,300,16.5,,,,,,
Bethel,Ansel Pond,400,9.5,,,,,,,,,,
Bennington,Bahen Brook/Daily Pond,400,9.7,,,,,,,,,,
Westmore,Bald Hill Pond,,,,,900,10.5,,,,,,
Bristol,Baldwin Creek,601,8.75,,,,,,,,,,
Shaftsbury,Big Cold Spring Brook,500,0,,,,,,,,,,
Hubbardton,Black Pond,,,,,600,10.3,,,,,,
Hubbardton,Black Pond,,,,,200,15.8,,,,,,
Coventry,Black River,,,,,,,4600,7.3,,,,
Cavendish,Black River,,,,,250,16,,,,,,
Weathersfield,Black River,,,,,250,16,,,,,,
Cavendish,Black River,,,,,250,16,,,,,,
Weathersfield,Black River,,,,,250,16,,,,,,
Cavendish,Black River,,,,,,,,,250,15.5,,
Weathersfield,Black River,,,,,,,,,250,15.5,,
Craftsbury,Black River,,,,,,,,,300,8.9,,
Irasburg,Black River,,,,,,,,,300,8.9,,
Craftsbury,Black River,,,,,,,7000,0,,,,
Cavendish,Black River,,,,,250,16,,,,,,
Weathersfield,Black River,,,,,250,16,,,,,,
Warren,Blueberry Lake,400,9.7,,,,,,,,,,
Jeffersonville,Brewster River,600,9.1,,,,,,,,,,
Jericho,Browns River,900,9.1,,,,,,,,,,
Underhill,Browns River,900,9.1,,,,,,,,,,
Manchester,Bullhead Pond,800,8.7,,,,,,,,,,
Belvidere,Calavale Brook,100,9,,,,,,,,,,
West Rutland,Castleton River,200,9,,,,,,,,,,
Ira,Castleton River,200,9,,,,,,,,,,
Clarendon,Clarendon River,516,9,,,,,,,,,,
Brighton,Clyde River,300,9.6,,,,,,,,,,
Charleston,Clyde River,,,,,,,,,,,23023,0
Derby,Clyde River,,,,,,,,,,,23023,0
Shrewsbury,Cold River,570,9.1,,,,,,,,,,
Clarendon,Cold River Lower,,,,,,,,,500,9,,
Shrewsbury,Cold River Lower,,,,,,,,,500,9,,
Killington,Colton Pond,1000,9.5,,,,,,,,,,
Bennington,Dewey Brook,200,9.7,,,,,,,,,,
Rutland,East Creek,,,,,625,16,,,,,,
Rutland,East Creek,,,,,250,12.1,,,,,,
Chittenden,East Creek,,,,,250,12.1,,,,,,
Rutland,East Creek,,,,,625,16,,,,,,
Woodbury,East Long Pond,,,,,400,10,,,,,,
Charleston,Echo Lake,,,,,1000,10,,,,,,
Plymouth,Echo Lake,,,100,8,,,,,,,,
Plymouth,Echo Lake,,,,,900,11.4,,,,,,
Plymouth,Echo Lake,,,,,300,15.8,,,,,,
Plymouth,Echo Lake,,,,,300,16.5,,,,,,
Averill,Forest Lake,,,,,,,,,600,8.9,,
Shrewsbury,Freeman Creek,505,9,,,,,,,,,,
Shaftsbury,Furnace Brook,250,0,,,,,,,,,,
Bennington,Furnace Brook,250,0,,,,,,,,,,
Hyde Park,Gihon River,500,9,,,,,,,,,,
Eden,Gihon River,500,9,,,,,,,,,,
Eden,Gihon River,,,,,,,,,650,8.9,,
Hyde Park,Gihon River,,,,,,,,,650,8.9,,
Castleton,Glen Lake,,,,,675,11.6,,,,,,
Fair Haven,Glen Lake,,,,,675,11.6,,,,,,
Castleton,Glen Lake,,,,,550,11.4,,,,,,
Fair Haven,Glen Lake,,,,,550,11.4,,,,,,
Goshen,Goshen Dam,1000,8.98,,,,,,,,,,
Woodbury,Greenwood Lake,,,,,600,10,,,,,,
Woodbury,Greenwood Lake,,,,,,,,,400,9,,
Wilmington,Harriman Reservoir,,,,,,,,,1850,9,,
Whitingham,Harriman Reservoir,,,,,,,,,1850,9,,
Wilmington,Harriman Reservoir,,,,,450,10,,,,,,
Whitingham,Harriman Reservoir,,,,,450,10,,,,,,
Wilmington,Harriman Reservoir,,,500,8,,,,,,,,
Whitingham,Harriman Reservoir,,,500,8,,,,,,,,
Barnet,Harvey's Lake,,,2000,8,,,,,,,,
Barnet,Harvey's Lake,,,,,1600,10.5,,,,,,
Holland,Holland Pond,,,,,1200,10,,,,,,
Holland,Holland Pond,,,,,,,,,1100,9,,
Pownal,Hoosic River Lower,,,,,,,,,600,9.2,,
Stamford,Hoosic River North Branch,,,,,,,,,1900,9,,
Huntington,Huntington River,600,9.4,,,,,,,,,,
Huntington,Huntington River,600,9.36,,,,,,,,,,
Brighton,Island Pond,,,,,1000,10,,,,,,
Brighton,Island Pond,,,,,,,,,1500,9,,
Danville,Joe's Brook,300,9.1,,,,,,,,,,
Danville,Joe's Brook,,,,,275,10.5,,,,,,
Barnet,Joe's Brook,,,,,275,10.5,,,,,,
Danville,Joe's Pond,,,,,660,10.5,,,,,,
Danville,Joe's Pond,,,,,,,,,1100,9,,
Bolton,Joiner Brook,500,9.1,,,,,,,,,,
Killington,Kent Pond,,,,,300,16.5,,,,,,
Killington,Kent Pond,,,,,900,10,,,,,,
Killington,Kent Pond,,,,,300,16.5,,,,,,
Killington,Kent Pond,500,9.7,,,,,,,,,,
Reading,Knapp Pond No 1,,,,,125,16.5,,,,,,
Cavendish,Knapp Pond No 1,,,,,125,16.5,,,,,,
Reading,Knapp Pond No 1,,,,,2050,10,,,,,,
Cavendish,Knapp Pond No 1,,,,,2050,10,,,,,,
Castleton,Lake Bomoseen,,,,,,,,,5000,8.7,,
Swanton,Lake Champlain,,,,,,,,,,,6410,7.52
Swanton,Lake Champlain,,,,,,,,,,,6770,7.13
Swanton,Lake Champlain,,,,,,,,,,,3410,7.4
Swanton,Lake Champlain,,,,,,,,,,,3410,7.4
Grand Isle,Lake Champlain,,,,,,,,,,,3385,7.13
Grand Isle,Lake Champlain,,,,,,,,,,,3205,7.5
Grand Isle,Lake Champlain,,,,,,,,,,,1705,7.4
