town,zipcode,parent
Addison,,Vergennes
Albany,5820,
Andover,,Chester
Arlington,,Arlington
Ascutney,5030,
Athens,,Chester
Barnard,5031,
Barnet,5821,
Barre,,Barre
Barton,,Barton
Barton,5822,TRUE
Bellows Falls,,Bellows Falls
Belmont,5730,
Bennington,,Bennington
Benson,5731,
Berlin,,Montpelier
Bethel,5032,
Bolton,,Waterbury
Bomoseen,5732,
Bondville,,Winhall
Bradford,5033,
Braintree,,Randolph
Brandon,,Brandon
Brattleboro,,Brattleboro
Bridgewater,,Bridgewater
Bridgewater Corners,5035,
Bridport,5734,
Bristol,,Bristol
Brookfield,5036,
Brookline,,Newfane
Brownington,,
Brownsville,5037,
Burlington,5408,
Cabot,5647,
Cambridge,5444,
Cambridgeport,5141,
Castleton,5735,
Cavendish,5142,
Center Rutland,5736,
Charlotte,5445,
Chelsea,5038,
Chester,,Chester
Chittenden,5737,
Clarendon,,Clarendon
Colchester,5446,
Concord,,Concord
Concord,5824,TRUE
Corinth,5039,
Cornwall,,Middlebury
Coventry,5825,
Cuttingsville,,Shrewsbury
Danby,,Danby
Danville,5828,
Derby,5829,
Dorset,5251,
Dover,,East Dover
Dover,,West Dover
Dummerston,,Brattleboro
Duxbury,,Waterbury
East Arlington,5252,
East Barre,5649,
East Calais,5650,
East Charleston,5833,
East Corinth,5040,
East Dover,,East Dover
East Dorset,5253,
East Dover,5341,TRUE
East Dummerston,,Putney
East Hardwick,5836,
East Middlebury,5740,
East Montpelier,5651,
East Randolph,5041,
East Wallingford,5742,
Enosburg Falls,,Enosburg
Essex Junction,5452,
Fairfax,5454,
Fairfield,5455,
Fair Haven,,Fair Haven
Fairlee,5045,
Florence,5744,
Forest Dale,5745,
Gaysville,5746,
Glover,5839,
Goshen,,Brandon
Grafton,5146,
Graniteville,5654,
Granville,5747,
Greensboro Bend,,Greensboro Bend
Greensboro Bend,5842,TRUE
Groton,5046,
Guilford,,Brattleboro
Halifax,,Brattleboro
Hancock,5748,
Hardwick,5843,
Hartford,5047,
Hartland,5048,
Hinesburg,5461,
Huntington,5462,
Hyde Park,5655,
Ira,,West Rutland
Irasburg,5845,
Brighton,5846,
Jacksonville,5342,
Jamaica,5343,
Jay,,North Troy
Jeffersonville,5464,
Jericho,5465,
Johnson,5656,
Jonesville,5466,
Killington,,Killington
Killington,5751,TRUE
Lake Elmore,5657,
Leicester,,Brandon
Lincoln,,Bristol
Londonderry,,Londonderry
Londonderry,5148,TRUE
Lowell,5847,
Ludlow,5149,
Lunenburg,5906,
Lyndon Center,5850,
Lyndon,5851,TRUE
Lyndonville,,Lyndon
Manchester,5255,
Manchester Center,5254,
Marlboro,5344,
Marshfield,5658,
Mendon,,Rutland
Middlebury,,Middlebury
Middlesex,,Montpelier
Middletown Springs,5757,
Milton,5468,
Montgomery,5470,
Montgomery Center,5471,
Montpelier,,Montpelier
Moretown,5660,
Morristown,5661,
Mount Holly,5758,
Mount Tabor,,Danby
New Haven,5472,
Newbury,5051,
Newfane,,Newfane
Newport,5855,
Newport Center,5857,
North Bennington,5257,
North Chittenden,,Pittsford
North Clarendon,,Clarendon
North Ferrisburgh,5473,
North Montpelier,5666,
Pomfret,,North Pomfret
North Pomfret,5053,TRUE
North Pomfret,,North Pomfret
North Pownal,5260,
North Springfield,5150,
North Troy,,North Troy
Northfield,,Northfield
Northfield Falls,5664,
Norwich,5055,
Orange,5641,Barre
Orleans,5860,
Orwell,5760,
Pawlet,5761,
Peacham,5862,
Weathersfield,5151,TRUE
Perkinsville,,Weathersfield
Peru,5152,
Pittsfield,5762,
Pittsford,,Pittsford
Plainfield,5667,
Plymouth,5056,
Poultney,5764,
Pownal,5261,
Proctor,5765,
Proctorsville,5153,
Putney,,Putney
Quechee,5059,
Randolph,,Randolph
Randolph Center,5061,
Reading,,Reading
Readsboro,5350,
Richford,5476,
Richmond,5477,
Ripton,5766,
Rochester,5767,
Rockingham,,Bellows Falls
Roxbury,,Roxbury
Royalton,5068,TRUE
Royalton,,Royalton
Rupert,5768,
Rutland,,Rutland
Saint Albans,5478,
Saint Johnsbury,5819,
Salisbury,5769,
Sandgate,,Arlington
Saxtons River,5154,
Searsburg,,Wilmington
Shaftsbury,5262,
Sharon,5065,
Sheffield,5866,
Shelburne,5482,
Shoreham,5770,
Shrewsbury,,Shrewsbury
South Burlington,5403,
South Londonderry,,South Londonderry
South Newfane,,Newfane
Pomfret,,South Pomfret
South Pomfret,,South Pomfret
South Pomfret,5067,TRUE
South Reading,,Reading
South Royalton,,Royalton
South Ryegate,5069,
South Strafford,5070,
South Woodstock,5071,
Springfield,5156,
Stamford,5352,
Starksboro,5487,
Stockbridge,5772,
Stowe,5672,
Strafford,5072,
Stratton,,Somerset
Stratton Mountain,,South Londonderry
Sudbury,,Brandon
Sunderland,,Arlington
Sutton,5867,
Swanton,5488,
Taftsville,5073,
Thetford,5074,
Thetford Center,5075,
Topsham,5076,
Townshend,5353,
Troy,5868,
Tunbridge,5077,
Underhill,5489,
Underhill Center,5490,
Vergennes,,Vergennes
Vernon,5354,
Vershire,5079,
Waitsfield,5673,
Wallingford,,Wallingford
Wallingford,5773,TRUE
Wardsboro,5355,
Warren,5674,
Washington,5675,
Waterbury,,Waterbury
Waterbury Center,5677,
Websterville,5678,
Wells,5774,
Wells River,5081,
West Berlin,,Northfield
West Braintree,,Roxbury
West Brattleboro,,Brattleboro
West Bridgewater,,Bridgewater
Newark,,Burke
Burke,5871,
West Burke,,Burke
Charleston,5872,TRUE
West Charleston,,Charleston
West Danville,,West Danville
West Danville,5873,TRUE
West Dover,5356,TRUE
West Dover,,West Dover
West Dummerston,5357,
West Fairlee,5083,
West Glover,5875,
West Halifax,5358,
West Hartford,5084,
West Haven,,Fair Haven
West Pawlet,5775,
West Rupert,5776,
West Rutland,,West Rutland
West Topsham,5086,
West Townshend,,Windham
West Wardsboro,,Somerset
West Windsor,5089,
Westfield,5874,
Westford,5494,
Westminster,5158,
Westminster Station,5159,
Weston,5161,
White River Junction,5001,
Whiting,5778,
Whitingham,5361,
Williamstown,5679,
Williamsville,5362,
Williston,5495,
Wilmington,,Wilmington
Windham,,Windham
Windsor,5089,
Winhall,,Winhall
Winooski,5404,
Wolcott,5680,
Woodbury,5681,
Woodford,,Bennington
Woodstock,5091,
Worcester,5682,
Adamant,5640,
Alburgh,5440,
Arlington,5250,TRUE
Averill,5901,
Bakersfield,5441,
Barre,5641,TRUE
Beecher Falls,5902,
Bellows Falls,5101,TRUE
Belvidere,5442,
Bennington,5201,TRUE
Brandon,5733,TRUE
Brattleboro,5301,TRUE
Bridgewater,5034,TRUE
Bristol,5443,TRUE
Calais,5648,
Canaan,5903,
Chester,5143,TRUE
Clarendon,5759,TRUE
Craftsbury,5826,
Craftsbury Common,5827,
Danby,5739,TRUE
East Berkshire,5447,
East Burke,5832,
East Fairfield,5448,
East Haven,5837,
East Thetford,5043,
Eden,5652,
Eden Mills,5653,
Fair Haven,5743,TRUE
Ferrisburgh,5456,
Franklin,5457,
Gilman,5904,
Grand Isle,5458,
Georgia,,Milton
Greensboro,5841,
Guildhall,5905,
Highgate Center,5459,
Isle La Motte,5463,
Mcindoe Falls,5050,
Middlebury,5753,TRUE
Montpelier,5602,TRUE
Morgan,5853,
Newfane,5345,TRUE
North Concord,5858,
North Hartland,5052,
North Hero,5474,
North Troy,5859,TRUE
Northfield,5663,TRUE
Norton,5907,
Pittsford,5763,TRUE
Post Mills,5058,
Putney,5346,TRUE
Randolph,5060,TRUE
Reading,5062,TRUE
Roxbury,5669,TRUE
Rutland,5701,TRUE
Saint Albans Bay,5481,
Sheldon Springs,5485,
Shrewsbury,5738,TRUE
South Hero,5486,
South Londonderry,5155,TRUE
Vergennes,5491,TRUE
Waterbury,5676,TRUE
Waterville,5492,
West Rutland,5777,TRUE
Somerset,5360,TRUE
Wilmington,5363,TRUE
Windham,5359,TRUE
Winhall,5340,TRUE
Baltimore,,Perkinsville
Charleston,,Charleston
Elmore,,Wolcott
Enosburg,5450,TRUE
Enosburg,,Enosburg
Fayston,,Waitsfield
Holland,5830,
Hubbardton,,Castleton
Kirby,,Concord
Landgrove,,Londonderry
Ryegate,5042,
Sherburne,,Killington
Somerset,,Somerset
Stannard,,Greensboro Bend
Tinmouth,,Wallingford
Walden,,West Danville
Weathersfield,,Weathersfield
Westmore,,Barton
Wheelock,,Lyndon
