Water,Town,Location,Species,Planned #,# Stocked,Age,Length,Date Stocked,County
Adams Reservoir,Woodford,,BKT,1900,1900,YR,8.7,5/1/13,bennington
Amherst Lake,Plymouth,,LAT,100,100,YR,8,5/9/13,Windsor
Amherst Lake,Plymouth,,RBT,600,600,YR,11.4,4/23/13,Windsor
Amherst Lake,Plymouth,,RBT,300,300,2YR,15.8,4/23/13,Windsor
Amherst Lake,Plymouth,,RBT,300,300,2YR,16.5,4/23/13,Windsor
Ansel Pond,Bethel,Acess area,BKT,400,400,YR,9.5,4/15/13,windsor
Bahen Brook/Daily Pond,Bennington,,BKT,400,400,YR,9.7,4/18/13,Bennington
Bald Hill Pond,Westmore,,RBT,1000,900,YR,10.5,5/29/13,Orleans
Baldwin Creek,Bristol,,BKT,600,601,YR,8.75,5/15/13,Addison
Barton River,Orleans/Coventry,Orleans WWTF to bridge below Hamel's farm,STT,5000,,2YR,,,Orleans
Bean Pond,Sutton,,BKT,200,,YR,,,Caledonia
Big Averill Lake,Averill,,BKT,600,,YR,,,Essex
Big Cold Spring Brook,Shaftsbury,,BKT,500,500,YR,0,5/13/13,Bennington
Big Mud Pond,Mt. Tabor,,BKT,2000,,SF,,,Rutland
Black Pond,Hubbardton,,RBT,600,600,YR,10.3,4/23/13,Rutland
Black Pond,Hubbardton,,RBT,200,200,2YR,15.8,4/23/13,Rutland
Black River,Coventry,Coventry Diner to Airport Rd.,STT,5000,4600,2YR,7.3,4/24/13,Orleans
Black River,Cavendish-Weathersfield,Howard Hill Bridge to Downers Covered Bridge,RBT,1500,500,2YR,16,5/2/13,Windsor
Black River,Cavendish-Weathersfield,Howard Hill Bridge to Downers Covered Bridge,RBT,1500,500,2YR,16,5/15/13,Windsor
Black River,Cavendish-Weathersfield,Howard Hill Bridge to Downers Covered Bridge,BNT,500,500,2YR,15.5,5/8/13,Windsor
Black River,Craftsbury/Irasburg,,BNT,600,600,YR,8.9,5/8/13,Orleans
Black River,Craftsbury,,STT,7000,7000,FR,0,5/17/13,Orleans
Black River,Cavendish-Weathersfield,Howard Hill Bridge to Downers Covered Bridge,RBT,1500,500,2YR,16,5/23/13,Windsor
Blueberry Lake,Warren,,BKT,400,400,YR,9.7,4/30/13,Washington
Bourn Pond,Sunderland,,BKT,8000,,SF,,,Bennington
Branch Pond,Sunderland,,BKT,7000,,SF,,,Bennington
Brewster River,Jeffersonville,,BKT,600,600,YR,9.1,5/14/13,Lamoille
Brown Pond,Westmore,,BKT,100,,YR,,,Orleans
Browns River,Jericho/Underhill,Jericho Red Mill to Underhill Center,BKT,1800,1800,YR,9.1,5/21/13,Chittenden
Browns River,Westford/Essex/Jericho,Lee River mouth to Westford Village,BNT,3500,,YR,,,Chittenden
Buck Lake,Woodbury,,BKT,300,,YR,,,Washington
Bullhead Pond,Manchester,,BKT,800,800,YR,8.7,4/12/13,Bennington
Burgess Branch,Lowell,,BKT,900,,YR,,,Orleans
Calavale Brook,Belvidere,Rt. 118 Crossing,BKT,100,100,YR,9,5/7/13,Lamoille
Castleton River,West Rutland/Ira,,BKT,400,400,YR,9,5/6/13,Rutland
Castleton River,Fair Haven,Rt 22A Bridge and downstream,BNT,300,,YR,,,Rutland
Center Pond,Newark,,BKT,400,,YR,,,Caledonia
Center Pond,Newark,,LAT,200,,YR,,,Caledonia
Clarendon River,Clarendon,,BKT,500,516,YR,9,5/6/13,Rutland
Clyde River,Brighton,Oswegatchie Brook downstream to Center School Rd bridge,BKT,300,300,YR,9.6,5/2/13,Essex
Clyde River,Charleston/Derby,W. Charlseton Dam to Clyde Pond,LAS,50000,46046,SF,0,5/23/13,Orleans
Clyde River,Charleston,"Inlet to West Charleston Pond downstream to Derby Center, Bridge St",RBT,200,,YR,,,Orleans
Clyde River,Charleston,"West Charleston Village downstream to Derby Center, Bridge St",BNT,200,,YR,,,Orleans
Colby Pond,Plymouth,,BNT,100,,YR,,,Windsor
Colby Pond,Plymouth,,BKT,1800,,YR,,,Windsor
Cold River,Shrewsbury,,BKT,500,570,YR,9.1,5/17/13,Rutland
Cold River Lower,Clarendon/Shrewsbury,,BNT,1000,1000,YR,9,5/8/13,Rutland
Colton Pond,Killington,,BKT,1000,1000,YR,9.5,4/23/13,Rutland
Deerfield River,Somerset-Searsburg,Bridge 581 on Somerset Rd. to Suspended Foot Bridge,BKT,400,,YR,,,Windham/Bennington
Deerfield River,Searsburg-Wilmington,Most west new bridge on Route 9 down to Medburyville bridge,RBT,500,,YR,,,Windham
Deerfield River West Branch,Readsboro,Halfway between Heartwellville & Lamb Brook down to park bridge,BKT,300,,YR,,,Bennington
Dewey Brook,Bennington,,BKT,200,200,YR,9.7,4/18/13,Bennington
Dolloff Pond,Sutton,,BKT,100,,YR,,,Caledonia
Duck Pond,Sutton,,BKT,100,,YR,,,Caledonia
East Creek,Rutland,Patch Pond Dam downstream to Otter Creek,RBT,1250,625,2YR,16,5/21/13,rutland
East Creek,Rutland/Chittenden,,RBT,500,500,YR,12.1,5/8/13,Rutland
East Creek,Rutland,Patch Pond Dam downstream to Otter Creek,RBT,1250,625,2YR,16,4/29/13,rutland
East Long Pond,Woodbury,,RBT,400,400,YR,10,5/16/13,Washington
East Long Pond,Woodbury,,LAT,600,,YR,,,Washington
Echo Lake,Charleston,,RBT,1000,1000,YR,10,5/6/13,Orleans
Echo Lake,Plymouth,,LAT,100,100,YR,8,5/9/13,Windham
Echo Lake,Plymouth,,RBT,900,900,YR,11.4,4/23/10,Windham
Echo Lake,Plymouth,,RBT,300,300,2YR,15.8,4/23/13,Windham
Echo Lake,Plymouth,,RBT,300,300,2YR,16.5,4/23/13,Windham
Ewell Pond,Peacham,,RBT,1000,,YR,,,Caledonia
Forest Lake,Averill,,BNT,600,600,YR,8.9,4/23/13,Essex
Freeman Creek,Shrewsbury,,BKT,500,505,YR,9,5/9/13,Rutland
Furnace Brook,Shaftsbury/Bennington,,BKT,500,500,YR,0,5/13/13,Bennington
Gaye Pond,Shaftsbury,,BKT,500,,YR,,,Bennington
Gihon River,Hyde Park/Eden,,BKT,1000,1000,YR,9,5/7/13,Lamoille
Gihon River,Eden/Hyde Park,,BNT,1300,1300,YR,8.9,5/8/13,Lamoille
Glen Lake,Castleton/Fair Haven,,RBT,2400,1350,YR,11.6,4/18/13,Rutland
Glen Lake,Castleton/Fair Haven,,RBT,2400,1100,YR,11.4,4/22/13,Rutland
Goshen Dam,Goshen,,BKT,1000,1000,YR,8.98,5/21/13,Addison
Granby Stream,Granby,Mouth to First Bridge,BKT,200,,YR,,,Essex
Great Brook,Chester-Springfield,Jct. Davis Bk. & Baltimore Rds. to Elm St. Bridge,BKT,200,,YR,,,Windsor
Green River,Guilford,Bridge near jct. green River & Hinesburg roads down to Roaring Brook,BKT,200,,YR,,,Windham
Greenwood Lake,Woodbury,,RBT,600,600,YR,10,5/16/13,Washington
Greenwood Lake,Woodbury,,BNT,400,400,YR,9,5/16/13,Washington
Griffith Pond,Mt. Tabor,,BKT,2000,,SF,,,Rutland
Hapgood Pond,Peru,,BKT,900,,YR,,,Bennington
Harriman Reservoir,Wilmington-Whitingham,,BNT,3700,3700,YR,9,5/7/13,Windham
Harriman Reservoir,Wilmington-Whitingham,,RBT,900,900,YR,10,5/7/13,Windham
Harriman Reservoir,Wilmington-Whitingham,,LAT,1000,1000,YR,8,5/9/13,Windham
Harriman Reservoir,Wilmington-Whitingham,,LAS,500,,2YR,,,Windham
Harvey's Lake,Barnet,,LAT,2000,2000,YR,8,5/10/13,Caledonia
Harvey's Lake,Barnet,,RBT,1600,1600,YR,10.5,5/24/13,Caledonia
Hazen Notch Brook,Lowell,,BKT,500,,YR,,,Orleans
Holland Pond,Holland,,RBT,1200,1200,YR,10,5/9/13,Orleans
Holland Pond,Holland,,BNT,1000,1100,YR,9,5/9/13,Orleans
Hoosic River Lower,Pownal,,BNT,1500,600,YR,9.2,5/23/13,Bennington
Hoosic River North Branch,Stamford,,BNT,1000,1900,YR,9,5/21/13,Bennington
Huntington River,Huntington,Bridge at Hunt. Ctr to Hanksville,BKT,600,600,YR,9.4,5/1/13,Chittenden
Huntington River,Huntington,Bridge at Hunt. Ctr to Hanksville,BKT,600,600,YR,9.36,5/1/13,Chittenden
Huntington River,Huntington,Top of Gorge to Bridge at Hunt. Ctr.,RBT,600,,YR,,,Chittenden
Island Pond,Brighton,,RBT,1000,1000,YR,10,5/6/13,Essex
Island Pond,Brighton,,BNT,1500,1500,YR,9,5/6/13,Essex
Jay Branch,Jay,,BKT,800,,YR,,,Orleans
Joe's Brook,Danville,Joe's Pond Dam to Greenbanks Hollow covered bridge,BKT,300,300,YR,9.1,5/9/13,Caledonia
Joe's Brook,Danville/Barnet,Morses Mill Bridge to Passumpsic River,RBT,500,550,YR,10.5,5/21/13,Caledonia
Joe's Pond,Danville,,RBT,600,660,YR,10.5,5/21/13,Caledonia
Joe's Pond,Danville,,BNT,1000,1100,YR,9,5/21/13,Caledonia
Joiner Brook,Bolton,,BKT,500,500,YR,9.1,5/22/13,Chittenden
Kent Pond,Killington,,RBT,500,300,2YR,16.5,5/22/13,rutland
Kent Pond,Killington,,RBT,900,900,YR,10,4/30/13,Rutland
Kent Pond,Killington,,RBT,500,300,2YR,16.5,5/1/13,rutland
Kent Pond,Killington,,BKT,500,500,YR,9.7,4/23/13,Rutland
Kettle Pond,Groton,,RBT,1000,,YR,,,Caledonia
Knapp Pond No 1,Reading-Cavendish,,RBT,250,250,2YR,16.5,4/30/13,Windsor
Knapp Pond No 1,Reading-Cavendish,,RBT,4100,4100,YR,10,4/24/13,Windsor
Lake Bomoseen,Castleton,,BNT,5000,5000,YR,8.7,4/15/13,Rutland
Lake Champlain,Swanton,Inland Sea - Missisquoi River,LAS,10000,6410,YR,7.52,3/1/13,Franklin
Lake Champlain,Swanton,Inland Sea - Missisquoi River,LAS,10000,6770,YR,7.13,3/1/13,Franklin
Lake Champlain,Swanton,Inland Sea - Missisquoi River,LAS,10000,3410,YR,7.4,3/1/13,Franklin
Lake Champlain,Swanton,Inland Sea - Missisquoi River,LAS,10000,3410,YR,7.4,3/1/13,Franklin
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,LAS,5000,3385,YR,7.13,3/6/13,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,LAS,5000,3205,YR,7.5,3/6/13,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,LAS,5000,1705,YR,7.4,3/6/13,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,LAS,5000,1705,YR,7.4,3/6/13,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,STT,6000,6000,YR,7.87,3/7/13,Grand Isle
Lake Champlain,Grand Isle,Main Lake - Hatchery Cove,STT,6000,6000,YR,6.95,3/7/13,Grand Isle
Lake Champlain,Charlotte,Main Lake - Charlotte Ferry,LAS,8000,6957,YR,7.4,3/11/13,Chittenden
Lake Champlain,Charlotte,Main Lake - Charlotte Ferry,LAS,8000,1043,YR,7.43,3/11/13,Chittenden
