town,parent,water,bkt,bkt-length,lat,lat-length,rbt,rbt-length,stt,stt-length,bnt,bnt-length,las,las-length,total
Adamant,5640,,,,,,,,,,,,,,
Albany,5820,,,,,,,,,,,,,,
Alburgh,5440,,,,,,,,,,,,,,
Arlington,5250,,,,,,,,,,,,,,
Ascutney,5030,,,,,,,,,,,,,,
Averill,Averill,Forest Lake,0,0,0,0,0,0,0,0,600,8.9,0,0,
Averill,5901,MASTER,0,0,0,0,0,0,0,0,600,0,0,0,600
Bakersfield,5441,,,,,,,,,,,,,,
Barnard,5031,,,,,,,,,,,,,,
Barnet,Barnet,Harvey's Lake,0,0,2000,8,1600,10.5,0,0,0,0,0,0,
Barnet,Barnet,Joe's Brook,0,0,0,0,275,10.5,0,0,0,0,0,0,
Barnet,Barnet,Stevens River,300,9.6,0,0,100,10.5,0,0,0,0,0,0,
Barnet,5821,MASTER,300,0,2000,0,1975,0,0,0,0,0,0,0,4275
Barre,5641,,,,,,,,,,,,,,
Barton,Barton,May Pond,1000,9.6,0,0,0,0,0,0,0,0,0,0,
Barton,5822,MASTER,1000,0,0,0,900,0,0,0,0,0,1000,0,2900
Beecher Falls,5902,,,,,,,,,,,,,,
Bellows Falls,5101,,,,,,,,,,,,,,
Belmont,5730,,,,,,,,,,,,,,
Belvidere,Belvidere,Calavale Brook,100,9,0,0,0,0,0,0,0,0,0,0,
Belvidere,Belvidere,Lamoille River North Branch,0,0,0,0,0,0,0,0,400,8.9,0,0,
Belvidere,5442,MASTER,100,0,0,0,0,0,0,0,400,0,0,0,500
Bennington,Bennington,Bahen Brook/Daily Pond,400,9.7,0,0,0,0,0,0,0,0,0,0,
Bennington,Bennington,Dewey Brook,200,9.7,0,0,0,0,0,0,0,0,0,0,
Bennington,Bennington,Furnace Brook,250,0,0,0,0,0,0,0,0,0,0,0,
Bennington,Bennington,Lake Paran,0,0,0,0,500,13.4,0,0,0,0,0,0,
Bennington,Bennington,Walloomsac River,0,0,0,0,0,0,0,0,200,15.5,0,0,
Bennington,Bennington,Walloomsac River South Stream,800,0,0,0,0,0,0,0,0,0,0,0,
Bennington,5201,MASTER,4050,0,0,0,500,0,0,0,200,0,0,0,4750
Benson,Benson,Sunset Lake,0,0,310,7.27,1000,10.9,0,0,0,0,0,0,
Benson,5731,MASTER,0,0,310,0,1000,0,0,0,0,0,0,0,1310
Bethel,Bethel,Ansel Pond,400,9.5,0,0,0,0,0,0,0,0,0,0,
Bethel,5032,MASTER,400,0,0,0,0,0,0,0,0,0,0,0,400
Bolton,Waterbury,Joiner Brook,500,9.1,0,0,0,0,0,0,0,0,0,0,
Bomoseen,5732,,,,,,,,,,,,,,
Bradford,5033,,,,,,,,,,,,,,
