town,zipcode,fema,parent
Adamant,5640,,
Addison,,512.11,Vergennes
Albany,5820,2372.34,
Alburgh,5440,,
Andover,,31222.66,Chester
Arlington,,154891.78,Arlington
Arlington,5250,164502.21,TRUE
Ascutney,5030,0,
Athens,,27787.79,Chester
Averill,5901,,
Bakersfield,5441,,
Barnard,5031,108980.28,
Barnet,5821,3995.83,
Barre,5641,35223.26,Barre
Barre,5641,42464.49,TRUE
Barton,5822,6450.03,
Beecher Falls,5902,,
Bellows Falls,,121627.26,Bellows Falls
Bellows Falls,5101,124468.8,TRUE
Belmont,5730,0,
Belvidere Center,5442,,
Bennington,,190121.71,Bennington
Bennington,5201,290009.93,TRUE
Benson,5731,3079.97,
Berlin,,848168.23,Montpelier
Bethel,5032,838387.53,
Bolton,,21413.63,Waterbury
Bomoseen,5732,7886.1,
Bondville,,17540.08,Winhall
Bradford,5033,2567.12,
Braintree,,219835.35,Randolph
Brandon,,114849.79,Brandon
Brandon,5733,125140.13,TRUE
Brattleboro,,665172.27,Brattleboro
Brattleboro,5301,728549.47,TRUE
Bridgewater,,57240.95,Bridgewater
Bridgewater,5034,58776.95,TRUE
Bridgewater Corners,5035,570164.83,
Bridport,5734,0,
Bristol,,6566.6,Bristol
Bristol,5443,22329.63,TRUE
Brookfield,5036,49979.98,
Brookline,,38900.11,Newfane
Brownsville,5037,54275.56,
Burlington,5401,14273.31,
Burlington,5405,,
Burlington,5408,,
Cabot,5647,8676.56,
Calais,5648,,
Cambridge,5444,10433.3,
Cambridgeport,5141,8299.75,
Canaan,5903,,
Castleton,5735,29971.16,
Cavendish,5142,208383.9,
Center Rutland,5736,36967.47,
Charlotte,5445,0,
Chelsea,5038,0,
Chester,,238095.18,Chester
Chester,5143,297105.63,TRUE
Chittenden,5737,5414.39,
Clarendon,,787.52,Clarendon
Clarendon,5759,132941.61,TRUE
Colchester,5439,15955.2,
Colchester,5446,,
Concord,5824,1476.99,
Corinth,5039,41661.65,
Cornwall,,1415.34,Middlebury
